Machine,Circuit,Diagnosis,Rank,Qty,Time - First,Time - Last,Time - Duration,Impact,FDD Analysis Type Id,Notes
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 8:34,6/4/14 8:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 9:04,6/4/14 9:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 9:34,6/4/14 9:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 10:04,6/4/14 10:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 10:34,6/4/14 10:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 11:04,6/4/14 11:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 11:34,6/4/14 11:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 12:04,6/4/14 12:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 12:34,6/4/14 12:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 13:04,6/4/14 13:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 13:34,6/4/14 13:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 14:04,6/4/14 14:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 14:34,6/4/14 14:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 15:04,6/4/14 15:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 15:35,6/4/14 15:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 16:06,6/4/14 16:06,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 16:36,6/4/14 16:36,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 17:06,6/4/14 17:06,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 17:36,6/4/14 17:36,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 18:06,6/4/14 18:06,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 18:36,6/4/14 18:36,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/4/14 19:06,6/4/14 19:06,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 8:34,6/5/14 8:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 9:04,6/5/14 9:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 9:35,6/5/14 9:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 10:05,6/5/14 10:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 10:35,6/5/14 10:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 11:05,6/5/14 11:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 11:35,6/5/14 11:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 12:06,6/5/14 12:06,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 12:36,6/5/14 12:36,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 13:06,6/5/14 13:06,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 13:37,6/5/14 13:37,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 14:07,6/5/14 14:07,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 14:37,6/5/14 14:37,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 15:07,6/5/14 15:07,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 15:37,6/5/14 15:37,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 16:07,6/5/14 16:07,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 16:38,6/5/14 16:38,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 17:08,6/5/14 17:08,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 17:38,6/5/14 17:38,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 18:09,6/5/14 18:09,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 18:39,6/5/14 18:39,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 19:09,6/5/14 19:09,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 8:35,6/6/14 8:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 9:05,6/6/14 9:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 9:35,6/6/14 9:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 10:05,6/6/14 10:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 10:35,6/6/14 10:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 11:05,6/6/14 11:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 11:35,6/6/14 11:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 12:05,6/6/14 12:05,"0 d, 0 h, 0 m, 0 s",72,391,
